file,url
.venv\Lib\site-packages\package_readme.md,"https://colab.research.google.com/assets/colab-badge.svg"""
.venv\Lib\site-packages\package_readme.md,https://wandb.com?utm_source=github&utm_medium=code&utm_campaign=wandb&utm_content=readme
.venv\Lib\site-packages\package_readme.md,https://wandb.github.io/weave?utm_source=github&utm_medium=code&utm_campaign=wandb&utm_content=readme
.venv\Lib\site-packages\package_readme.md,https://docs.wandb.ai/?utm_source=github&utm_medium=code&utm_campaign=wandb&utm_content=documentation
.venv\Lib\site-packages\package_readme.md,https://docs.wandb.ai/training/api-reference#api-overview?utm_source=github&utm_medium=code&utm_campaign=wandb&utm_content=documentation
.venv\Lib\site-packages\package_readme.md,https://wandb.ai/login?utm_source=github&utm_medium=code&utm_campaign=wandb&utm_content=quickstart
.venv\Lib\site-packages\package_readme.md,https://wandb.ai/home
.venv\Lib\site-packages\package_readme.md,https://docs.wandb.ai/models/integrations
.venv\Lib\site-packages\package_readme.md,https://docs.wandb.ai/models/integrations/add-wandb-to-any-library
.venv\Lib\site-packages\package_readme.md,https://docs.wandb.ai/platform/hosting/hosting-options/multi_tenant_cloud?utm_source=github&utm_medium=code&utm_campaign=wandb&utm_content=hosting
.venv\Lib\site-packages\package_readme.md,https://docs.wandb.ai/platform/hosting/hosting-options/dedicated_cloud?utm_source=github&utm_medium=code&utm_campaign=wandb&utm_content=hosting
.venv\Lib\site-packages\package_readme.md,https://docs.wandb.ai/platform/hosting/hosting-options/self-managed?utm_source=github&utm_medium=code&utm_campaign=wandb&utm_content=hosting
.venv\Lib\site-packages\package_readme.md,https://docs.wandb.ai/guides/hosting?utm_source=github&utm_medium=code&utm_campaign=wandb&utm_content=hosting
.venv\Lib\site-packages\package_readme.md,https://devguide.python.org/versions/
.venv\Lib\site-packages\package_readme.md,https://github.com/wandb/wandb/blob/main/CONTRIBUTING.md
.venv\Lib\site-packages\package_readme.md,https://github.com/wandb/wandb/issues
.venv\Lib\site-packages\package_readme.md,https://wandb.me/discord
.venv\Lib\site-packages\package_readme.md,https://wandb.ai/fully-connected
.venv\Lib\site-packages\package_readme.md,https://github.com/wandb/wandb/blob/main/LICENSE
.venv\Lib\site-packages\uvicorn-0.38.0.dist-info\licenses\LICENSE.md,https://www.encode.io/
.venv\Lib\site-packages\trl\templates\lm_model_card.md,https://huggingface.co/{{
.venv\Lib\site-packages\trl\templates\lm_model_card.md,https://huggingface.co/datasets/{{
.venv\Lib\site-packages\trl\templates\lm_model_card.md,https://github.com/huggingface/trl
.venv\Lib\site-packages\trl\templates\lm_model_card.md,"https://raw.githubusercontent.com/wandb/assets/main/wandb-github-badge-28.svg"""
.venv\Lib\site-packages\trl\templates\lm_model_card.md,"https://raw.githubusercontent.com/comet-ml/comet-examples/master/logo/comet_badge.png"""
.venv\Lib\site-packages\trl\templates\lm_model_card.md,https://huggingface.co/papers/{{
.venv\Lib\site-packages\trl\templates\lm_model_card.md,https://github.com/huggingface/trl}}
.venv\Lib\site-packages\trl\templates\rm_model_card.md,https://huggingface.co/{{
.venv\Lib\site-packages\trl\templates\rm_model_card.md,https://huggingface.co/datasets/{{
.venv\Lib\site-packages\trl\templates\rm_model_card.md,https://github.com/huggingface/trl
.venv\Lib\site-packages\trl\templates\rm_model_card.md,"https://raw.githubusercontent.com/wandb/assets/main/wandb-github-badge-28.svg"""
.venv\Lib\site-packages\trl\templates\rm_model_card.md,"https://raw.githubusercontent.com/comet-ml/comet-examples/master/logo/comet_badge.png"""
.venv\Lib\site-packages\trl\templates\rm_model_card.md,https://huggingface.co/papers/{{
.venv\Lib\site-packages\trl\templates\rm_model_card.md,https://github.com/huggingface/trl}}
.venv\Lib\site-packages\starlette-0.49.3.dist-info\licenses\LICENSE.md,https://www.encode.io/
.venv\Lib\site-packages\pyright\dist\README.md,https://github.com/microsoft/pyright/blob/main/docs/img/PyrightLarge.png
.venv\Lib\site-packages\pyright\dist\README.md,https://microsoft.github.io/pyright/#/command-line
.venv\Lib\site-packages\pyright\dist\README.md,https://marketplace.visualstudio.com/items?itemName=ms-pyright.pyright
.venv\Lib\site-packages\pyright\dist\README.md,https://pyright-play.net/?code=MQAgKgFglgziMEMC2AHANgUxAEw0g9gHYwAuATgiRnBPgO4gDG%2BSBhIGZZ%2BZcjC7AEZZcVRlWzwSlKPzRoAniEFKUCslADmEEgDoAUPtwAzEAmzYAFAA8AXCGNp8lADQgF9x85IBKW-pBAkDIMEgBXMnZrEABqd0NQAAUEGBgoQk0zKTIQdNIBRiwUkBIILBgMZkJJBDJNMKQMQhJg6jC0Ejh0rLIw5qhGjmtClBIoIgNzKwBGNwAiOZ99IA
.venv\Lib\site-packages\pyright\dist\README.md,https://microsoft.github.io/pyright
.venv\Lib\site-packages\pyright\dist\README.md,https://github.com/microsoft/pyright/discussions
.venv\Lib\site-packages\pyright\dist\README.md,https://github.com/microsoft/pyright/issues
.venv\Lib\site-packages\pyright\dist\README.md,https://github.com/microsoft/pylance-release/issues
.venv\Lib\site-packages\pyright\dist\README.md,https://cla.microsoft.com.
.venv\Lib\site-packages\pyright\dist\README.md,https://opensource.microsoft.com/codeofconduct/
.venv\Lib\site-packages\pyright\dist\README.md,https://opensource.microsoft.com/codeofconduct/faq/
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://github.com/python/typeshed/actions/workflows/tests.yml/badge.svg
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://github.com/python/typeshed/actions/workflows/tests.yml
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://gitter.im/python/typing](https://badges.gitter.im/python/typing.svg
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://gitter.im/python/typing?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge&utm_content=badge
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://img.shields.io/badge/pull%20requests-welcome-brightgreen.svg
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://github.com/python/typeshed/blob/main/CONTRIBUTING.md
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://typing.readthedocs.io/en/latest/.
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://github.com/python/mypy/
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://github.com/microsoft/pyright
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,http://www.python.org/dev/peps/pep-0561/
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://github.com/typeshed-internal/stub_uploader
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://github.com/python/typeshed/tree/main/stdlib/_typeshed
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://github.com/python/typeshed/issues
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://github.com/python/typing/discussions
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md,https://gitter.im/python/typing
